address,repayment_ratio,liquidation_ratio,total_borrowed,portfolio_diversity,account_age_days,activity_frequency,total_collateral,unique_tokens,total_transactions,kmeans_cluster,anomaly
0x59b68efe9c791b93d6adfdf126edefa583558b67,1.2031,0.9986,0.00128,0.0,1173,0.265985,0.001539,8,312,0,1
0x14c36beccde6466eb31461ea52190457ad952d24,1.3275,1.1018,0.002622,0.0,1174,0.046848,0.00348,2,55,0,1
0xfeb6a775cf2403f22cc6c451564c66cb0d88c51b,1.1918,0.9892,0.000633,0.0,1291,0.106119,0.000755,3,137,0,1
0x9d9c3513189342c8e24a987fd25df3bda68b2af4,1.262,1.1043,6.359695,0.0,1577,0.082435,8.026041,3,130,0,1
0xbefc8a3543023a6f8409ad8f660dee0d8770794c,4.1198,3.5624,0.830337,0.0,1492,0.229893,3.420859,3,343,0,1
0xb9af6e5dbc239516e086f50cdf6006ad6b15ce3b,1.2021,1.0467,11.75384,0.0,1711,0.430158,14.129472,4,736,0,1
0xa2944098ee88b83b10f13194afcbf1d72916c58b,3.0426,2.5253,0.838098,0.0,1588,0.245592,2.549976,10,390,0,1
0x57091b71796f570b161da44d29e86b50d081e9f8,0.0,1.157920892373162e+59,0.0,0.0,1,9.0,0.015177,2,9,0,-1
0x19a1989b0b0d3f019e09d4ba3d0900cd29d35dfb,2.7467,2.2567,166.458136,0.0,2079,0.224627,457.216178,5,467,2,-1
0xa950aad36c41cb9c7b2836632163045a04350593,0.0,1.157920892373162e+59,0.0,0.0,1573,0.058487,25.223581,5,92,0,1
0x015f975c22438c48eb23f879ed3b293ed7fbd2d2,1.0277,0.8987,0.00162,0.0,958,0.361169,0.001664,3,346,0,1
0x04c8d5007879c7f0968f58601700c9a575c8512a,1.2718,1.0556,0.000226,0.0,1306,0.249617,0.000287,12,326,0,1
0x434a88af3a9c42a5bccea731b324c5cb591c2d17,1.2718,1.0556,0.000965,0.0,1776,0.112613,0.001227,9,200,0,1
0xad4490fbdb43c8e18731dacf498001152af4cdc4,18.7448,16.1205,0.001841,0.0,1413,0.172682,0.034516,4,244,0,1
0x3bb638c1fdf2eacc053bca17149ad64c11ca09cd,1.2673,1.0518,0.00064,0.0,1832,0.538755,0.00081,20,987,0,1
0xe4055766c1c2db0685df29808012e9caa1428826,1.428,1.1852,0.001601,0.0,1176,0.187925,0.002286,13,221,0,1
0x2885776d3eadcec3f51a3480139512f308b70206,2.8699,2.382,0.445411,0.0,288,0.152778,1.278284,2,44,0,1
0x18351027c3cc214dc8fc49ae581b9f0151bffe0c,0.0,1.157920892373162e+59,0.0,0.0,249,0.080321,0.100015,1,20,0,1
