repayment_ratio,liquidation_ratio,total_borrowed,portfolio_diversity,account_age_days,activity_frequency,total_collateral,unique_tokens,total_transactions,cluster,anomaly,score_raw,rank,credit_score
0.0,1.157920892373162e+59,0.0,0.0,1166,0.030017,0.409355,13,35,0,1,-0.08481290127433577,846.0,581.9780853517877
1.2008,0.9966,0.001282,0.0,1174,0.265758,0.00154,77,312,0,1,-0.2286956080691662,1431.0,396.4244521337947
1.3249,1.0997,0.002627,0.0,1174,0.046848,0.003481,43,55,0,1,-0.27945957706003116,1549.0,358.9965397923875
1.1895,0.9872,0.000635,0.0,1291,0.106119,0.000755,68,137,0,1,-0.22883280976620998,1432.0,396.10726643598616
1.2646,1.1065,6.359751,0.0,1577,0.082435,8.042226,61,130,0,1,-0.13605896836032602,1030.0,523.6159169550173
4.1141,3.5574,0.832036,0.0,1492,0.230563,3.423042,55,344,0,1,-0.1461476980984932,1078.0,508.39100346020757
1.2014,1.0461,11.777886,0.0,1711,0.430158,14.149931,36,736,0,1,-0.013369463103076424,673.0,636.8512110726643
3.0366,2.5204,0.839812,0.0,1589,0.245437,2.55016,119,390,0,1,-0.09915906309136167,896.0,566.1188004613609
0.0,1.157920892373162e+59,0.0,0.0,2,4.5,0.015178,8,9,0,-1,0.19643315223713803,145.0,804.3252595155709
2.7407,2.2517,166.827056,0.0,2079,0.224627,457.216185,36,467,0,-1,0.6665073932858516,5.0,848.7312572087659
0.0,1.157920892373162e+59,0.0,0.0,1574,0.05845,25.274446,26,92,0,1,0.05213834951193666,432.0,713.2929642445213
1.0295,0.9003,0.00162,0.0,958,0.361169,0.001668,89,346,0,1,-0.27050110464068755,1519.0,368.5121107266436
1.2692,1.0535,0.000226,0.0,1306,0.249617,0.000287,121,326,0,1,-0.18248894397419627,1267.0,448.44290657439444
1.2692,1.0535,0.000967,0.0,1776,0.112613,0.001227,105,200,0,1,-0.08185944165972396,833.0,586.1014994232987
18.7446,16.1204,0.001841,0.0,1413,0.172682,0.034516,55,244,0,1,-0.1844452246091679,1272.0,446.8569780853518
1.2648,1.0498,0.000641,0.0,1832,0.538755,0.00081,298,987,0,1,0.07900232365278206,343.0,741.522491349481
1.4252,1.1829,0.001604,0.0,1177,0.187766,0.002287,100,221,0,1,-0.23684078967959943,1445.0,391.9838523644752
2.8643,2.3774,0.446317,0.0,288,0.152778,1.278376,15,44,0,1,-0.514988613071158,1718.0,305.3921568627451
0.0,1.157920892373162e+59,0.0,0.0,249,0.080321,0.100022,10,20,0,1,-0.332076628610576,1645.0,328.5467128027682
0.0,1.157920892373162e+59,0.0,0.0,1645,0.168389,0.002863,112,277,0,1,0.10276129836091376,297.0,756.1130334486736
0.0,1.157920892373162e+59,0.0,0.0,2,1.0,0.022905,0,2,0,1,-0.2792075909679478,1547.0,359.63091118800463
2.6174,1.7013,3.71833,0.0,2771,0.112956,9.73242,36,313,0,1,0.1939398105490546,148.0,803.3737024221454
0.0,1.157920892373162e+59,0.0,0.0,5,4.0,2.620369,7,20,0,-1,0.13146478956015648,248.0,771.6551326412919
1.3299,1.1038,0.000321,0.0,1187,0.05139,0.000427,38,61,0,1,-0.2762799664871013,1534.0,363.75432525951555
1.3299,1.1038,0.000321,0.0,1187,0.048863,0.000427,38,58,0,1,-0.27676603084270857,1536.0,363.1199538638985
1.33,1.1039,0.000642,0.0,1187,0.049705,0.000853,39,59,0,1,-0.27634423604589686,1535.0,363.43713956170706
1.33,1.1039,0.000642,0.0,1187,0.069924,0.000853,52,83,0,1,-0.2690905677512941,1516.0,369.4636678200692
1.33,1.1039,0.000321,0.0,1187,0.072452,0.000427,57,86,0,1,-0.26731122605789437,1510.0,371.3667820069204
1.33,1.1039,0.000353,0.0,1187,0.077506,0.000469,58,92,0,1,-0.26608017201189765,1509.0,371.68396770472896
1.33,1.1039,0.000642,0.0,1187,0.081719,0.000853,62,97,0,1,-0.2642336843814567,1505.0,372.95271049596306
1.3709,1.1378,0.000963,0.0,1187,0.073294,0.00132,56,87,0,1,-0.2674060643377461,1511.0,371.04959630911185
1.3951,1.158,0.00045,0.0,1156,0.441176,0.000627,122,510,0,1,-0.18875701450090884,1300.0,437.97577854671283
1.3918,1.1552,0.000961,0.0,1680,0.130952,0.001337,116,220,0,1,-0.10199195517651818,908.0,562.3125720876585
1.3927,1.1559,0.00189,0.0,1741,0.174038,0.002632,138,303,0,1,-0.06968556580687182,796.0,597.8373702422145
0.0,1.157920892373162e+59,0.0,0.0,1363,0.219369,0.005654,196,299,0,1,0.05484200220494697,419.0,717.4163783160323
1.4028,1.1644,0.002262,0.0,1361,0.307127,0.003174,141,418,0,1,-0.14996462789405618,1098.0,502.04728950403694
1.4028,1.1644,0.00045,0.0,1319,0.125853,0.000631,65,166,0,1,-0.2178393962291086,1394.0,408.1603229527105
0.0,1.157920892373162e+59,0.0,0.0,1614,0.035316,0.120042,30,57,0,1,0.044493478405953066,462.0,703.7773933102653
796102.912,652804.3878,6.8e-05,0.0,1780,1.415169,54.269843,222,2519,2,-1,0.3578670630523818,115.0,437.5
1.217,1.0101,0.07404,0.0,938,0.073561,0.090109,22,69,0,1,-0.34534725616232165,1658.0,324.4232987312572
