address,repayment_ratio,liquidation_ratio,total_borrowed,portfolio_diversity,account_age_days,activity_frequency,total_collateral,unique_tokens,total_transactions
0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,0.0000,1.157920892373162e+59,0.000000,0.0000,1712,5.841121,0.498603,1,10000
0x24ac232a8273fb0df8ba26e35f9cf13cda230eee,0.0000,1.157920892373162e+59,0.000000,0.0000,1176,0.067177,0.000001,2,79
0x2169ec73eeb5287ed3180b401b6383beaf5a2011,1.2032,0.9987,0.000035,0.0000,1228,0.469055,0.000043,26,576
0x1930b7f236d94e872a0b9ded104ba092d85a3856,1.2033,0.9987,0.000032,0.0000,1675,0.802388,0.000038,41,1344
0xadeed0ebb1c391b6bc0415dfe322efc8766d8c2b,0.0000,1.157920892373162e+59,0.000000,0.0000,1506,0.015936,0.000000,2,24
0x59b68efe9c791b93d6adfdf126edefa583558b67,1.1969,0.9934,0.001286,0.0000,1173,0.265985,0.001539,8,312
0x9008d19f58aabd9ed0d60971565aa8510560ab41,0.0000,1.157920892373162e+59,0.000000,0.0000,1466,6.821282,0.132329,0,10000
0x000000000004444c5dc75cb358380d2e3de08a90,0.0000,1.157920892373162e+59,0.000000,0.0000,255,1.615686,0.320047,1,412
0x5141b82f5ffda4c6fe1e372978f1c5427640a190,0.0000,1.157920892373162e+59,0.000000,0.0000,228,7.289474,0.000000,2,1662
0x6e4141d33021b52c91c28608403db4a0ffb50ec6,0.0000,1.157920892373162e+59,0.000000,0.0000,94,0.340426,0.000000,1,32
0xcf5540fffcdc3d510b18bfca6d2b9987b0772559,0.0000,1.157920892373162e+59,0.000000,0.0000,759,13.175231,0.000227,2,10000
